province,lat,lon
Thanh Hóa,19.9781573,105.4816107
Nghệ An,19.1976001,105.0606760
Hà Tĩnh,18.3504832,105.7623047
Quảng Bình,17.5095990,106.4004452
Quảng Trị,16.7897806,106.9797431
Thừa Thiên Huế,16.4639321,107.5863388
Quảng Nam,15.5761698,108.0527132
Quảng Ngãi,14.9953739,108.6917290
Bình Định,14.0779378,108.9898798
Phú Yên,13.1912633,109.1273678
Khánh Hòa,12.2980751,108.9950386
Ninh Thuận,11.6965639,108.8928476
Bình Thuận,11.1041572,108.1832931
Kon Tum,14.6995372,107.9323831
Gia Lai,13.8177445,108.2004015
Đắk Lắk,12.8292274,108.2999058
Đắk Nông,12.2818851,107.7302484
Lâm Đồng,11.6614957,108.1335279
Đà Nẵng,16.0680000,108.2120000
Bình Dương,11.1836551,106.7031737
Bình Phước,11.7543232,106.9266473
Tây Ninh,11.4019366,106.1626927
Vũng Tàu,10.3486485,107.0765028
Đồng Nai,11.0355624,107.1881076
Long An,10.6983968,106.1883517
Tiền Giang,10.4030368,106.3616330
Bến Tre,10.1093637,106.4811559
Vĩnh Long,10.1203043,106.0125705
Trà Vinh,9.8037998,106.3256808
Đồng Tháp,10.5904240,105.6802341
Hậu Giang,9.7985063,105.6379524
An Giang,10.5392057,105.2312822
Kiên Giang,9.9904962,105.2435248
Bạc Liêu,9.3298341,105.5099460
Sóc Trăng,9.5628369,105.9493991
Cà Mau,9.0180177,105.0869724
Thành phố Hồ Chí Minh,10.7763897,106.7011391
Cần Thơ,10.0364634,105.7875821
