province,lat,lon
Thanh Hóa,19.9781573,105.4816107
Nghệ An,19.1976001,105.0606760
Hà Tĩnh,18.3504832,105.7623047
Quảng Bình,17.5095990,106.4004452
Quảng Trị,16.7897806,106.9797431
Thừa Thiên Huế,16.4639321,107.5863388
Quảng Nam,15.5761698,108.0527132
Quảng Ngãi,14.9953739,108.6917290
Bình Định,14.0779378,108.9898798
Phú Yên,13.1912633,109.1273678
Khánh Hòa,12.2980751,108.9950386
Ninh Thuận,11.6965639,108.8928476
Bình Thuận,11.1041572,108.1832931
Kon Tum,14.6995372,107.9323831
Gia Lai,13.8177445,108.2004015
Đắk Lắk,12.8292274,108.2999058
Đắk Nông,12.2818851,107.7302484
Lâm Đồng,11.6614957,108.1335279
Đà Nẵng,16.0680000,108.2120000
